replicate,K,placebo,placebo_minus_real_mae,placebo_minus_direct_mae,share_months_real_better,share_months_placebo_beats_direct
5,14,ObservedBrandAggregate,2.4697166478236348,-3.118429354175464,0.5098039215686274,0.5294117647058824
6,5,ObservedBrandAggregate,8.232249034710922,-11.814689719286951,0.5882352941176471,0.5686274509803921
6,8,ObservedBrandAggregate,11.47387220340317,-8.802105553219224,0.5686274509803921,0.5882352941176471
6,10,ObservedBrandAggregate,-6.118876411511435,-17.64646922860021,0.43137254901960786,0.5098039215686274
6,12,ObservedBrandAggregate,-2.6402244153942207,-7.742130349545111,0.49019607843137253,0.43137254901960786
6,14,ObservedBrandAggregate,0.048476942774709694,-5.539669059224388,0.47058823529411764,0.5882352941176471
7,5,ObservedBrandAggregate,-10.984085021450078,-31.03102377544795,0.47058823529411764,0.5098039215686274
7,8,ObservedBrandAggregate,4.700239146162777,-15.57573861045962,0.5098039215686274,0.5882352941176471
7,10,ObservedBrandAggregate,-0.365967553618052,-11.893560370706828,0.43137254901960786,0.6274509803921569
7,12,ObservedBrandAggregate,-2.219673798624941,-7.321579732775832,0.4117647058823529,0.47058823529411764
7,14,ObservedBrandAggregate,0.9380590980994302,-4.650086903899668,0.45098039215686275,0.7058823529411765
8,5,ObservedBrandAggregate,-15.663298359418892,-35.710237113416774,0.47058823529411764,0.47058823529411764
8,8,ObservedBrandAggregate,11.92052581881124,-8.355451937811154,0.47058823529411764,0.5490196078431373
8,10,ObservedBrandAggregate,11.653078442119357,0.125485625030582,0.5294117647058824,0.49019607843137253
8,12,ObservedBrandAggregate,-0.47535108652307073,-5.577257020673962,0.47058823529411764,0.5490196078431373
8,14,ObservedBrandAggregate,3.3263205055165614,-2.261825496482536,0.49019607843137253,0.5490196078431373
9,5,ObservedBrandAggregate,10.03888080054396,-10.008057953453918,0.5686274509803921,0.45098039215686275
9,8,ObservedBrandAggregate,13.971527579047484,-6.304450177574913,0.5490196078431373,0.5686274509803921
9,10,ObservedBrandAggregate,5.10503481506978,-6.422558002018998,0.5686274509803921,0.5098039215686274
9,12,ObservedBrandAggregate,-4.761798340356511,-9.863704274507402,0.45098039215686275,0.6078431372549019
9,14,ObservedBrandAggregate,2.8288271920522168,-2.759318809946882,0.5490196078431373,0.5686274509803921
10,5,ObservedBrandAggregate,-6.138882510501078,-26.18582126449895,0.47058823529411764,0.6274509803921569
10,8,ObservedBrandAggregate,7.381589331374183,-12.894388425248213,0.5882352941176471,0.5490196078431373
10,10,ObservedBrandAggregate,5.1772242141405735,-6.350368602948206,0.5294117647058824,0.5098039215686274
10,12,ObservedBrandAggregate,-3.7315517092182393,-8.833457643369131,0.43137254901960786,0.6078431372549019
10,14,ObservedBrandAggregate,4.6789497587892885,-0.9091962432098102,0.5490196078431373,0.5294117647058824
11,5,ObservedBrandAggregate,-3.8461224295998546,-23.893061183597737,0.5294117647058824,0.5490196078431373
11,8,ObservedBrandAggregate,7.254240588782488,-13.02173716783991,0.47058823529411764,0.5686274509803921
11,10,ObservedBrandAggregate,5.467313516448236,-6.060279300640541,0.5294117647058824,0.5686274509803921
11,12,ObservedBrandAggregate,-3.584349593460394,-8.686255527611285,0.45098039215686275,0.5490196078431373
11,14,ObservedBrandAggregate,1.9208758023815726,-3.6672701996175254,0.6078431372549019,0.5686274509803921
12,5,ObservedBrandAggregate,11.34937502293199,-8.697563731065882,0.5294117647058824,0.5098039215686274
12,8,ObservedBrandAggregate,13.067936440455558,-7.20804131616684,0.5294117647058824,0.5882352941176471
12,10,ObservedBrandAggregate,6.926013655503692,-4.601579161585086,0.5294117647058824,0.45098039215686275
12,12,ObservedBrandAggregate,-2.943474413507273,-8.045380347658165,0.43137254901960786,0.5882352941176471
12,14,ObservedBrandAggregate,1.7700301646122185,-3.818115837386879,0.5490196078431373,0.5294117647058824
13,5,ObservedBrandAggregate,-0.7294741510529948,-20.77641290505087,0.5294117647058824,0.49019607843137253
13,8,ObservedBrandAggregate,4.358197180206009,-15.91778057641639,0.5686274509803921,0.5882352941176471
13,10,ObservedBrandAggregate,-1.8108289126086694,-13.338421729697448,0.39215686274509803,0.6078431372549019
13,12,ObservedBrandAggregate,-4.437264322502407,-9.539170256653302,0.4117647058823529,0.5686274509803921
13,14,ObservedBrandAggregate,0.014532024526165714,-5.573613977472933,0.47058823529411764,0.5882352941176471
14,5,ObservedBrandAggregate,0.39165997492668836,-19.655278779071182,0.4117647058823529,0.5490196078431373
14,8,ObservedBrandAggregate,14.720150382921192,-5.555827373701206,0.5294117647058824,0.49019607843137253
14,10,ObservedBrandAggregate,4.546536743237032,-6.981056073851746,0.5686274509803921,0.45098039215686275
14,12,ObservedBrandAggregate,-1.1317401302687722,-6.233646064419662,0.43137254901960786,0.5490196078431373
14,14,ObservedBrandAggregate,3.90939165880684,-1.6787543431922576,0.5686274509803921,0.5294117647058824
15,5,ObservedBrandAggregate,-2.7564972123396085,-22.803435966337485,0.5490196078431373,0.5490196078431373
15,8,ObservedBrandAggregate,7.624756309976402,-12.651221446645993,0.49019607843137253,0.6078431372549019
15,10,ObservedBrandAggregate,7.7264939877097305,-3.801098829379047,0.5098039215686274,0.5098039215686274
15,12,ObservedBrandAggregate,1.0545513773898714,-4.047354556761019,0.5686274509803921,0.47058823529411764
15,14,ObservedBrandAggregate,-2.144880654304413,-7.733026656303511,0.37254901960784315,0.5882352941176471
16,5,ObservedBrandAggregate,-0.6207965325722964,-20.667735286570167,0.47058823529411764,0.5294117647058824
16,8,ObservedBrandAggregate,12.282786932392336,-7.993190824230063,0.6470588235294118,0.5490196078431373
16,10,ObservedBrandAggregate,1.0860028722379356,-10.441589944850842,0.5686274509803921,0.45098039215686275
16,12,ObservedBrandAggregate,-3.5415849378108897,-8.64349087196178,0.47058823529411764,0.5294117647058824
16,14,ObservedBrandAggregate,1.662177580475429,-3.925968421523669,0.5686274509803921,0.5686274509803921
