replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
9,10,ObservedBrandAggregate,2026-03-01,445.32068570708327,472.8760902190382,449.1474896055764
9,12,ObservedBrandAggregate,2022-01-01,321.3568554422211,311.9647011658505,325.12695939597614
9,12,ObservedBrandAggregate,2022-02-01,232.58536511364807,194.10884242592218,199.87239328342545
9,12,ObservedBrandAggregate,2022-03-01,519.4954979431717,498.7661724840773,564.637142495069
9,12,ObservedBrandAggregate,2022-04-01,145.85420153620166,161.61947539651462,158.13019897243353
9,12,ObservedBrandAggregate,2022-05-01,197.30325396013086,185.2734239281717,206.53709701200395
9,12,ObservedBrandAggregate,2022-06-01,365.426962787743,346.54776969831306,385.8837285600737
9,12,ObservedBrandAggregate,2022-07-01,283.5505730594896,272.61051192366085,275.78999778788926
9,12,ObservedBrandAggregate,2022-08-01,258.95677098581854,246.50310718298564,280.29486757372075
9,12,ObservedBrandAggregate,2022-09-01,329.2473970010543,297.49280674723093,335.5926258701281
9,12,ObservedBrandAggregate,2022-10-01,315.319408051712,313.6255645035904,302.32013275289427
9,12,ObservedBrandAggregate,2022-11-01,609.3722317956897,606.5549901034185,628.823645634788
9,12,ObservedBrandAggregate,2022-12-01,1476.9382912446497,1518.8309038049117,1612.374925690837
9,12,ObservedBrandAggregate,2023-01-01,727.3016468474949,694.8934432798601,675.5386618392439
9,12,ObservedBrandAggregate,2023-02-01,282.958275313421,288.3909575445975,324.539631804905
9,12,ObservedBrandAggregate,2023-03-01,754.8858564008096,773.2322630043732,814.4889338643711
9,12,ObservedBrandAggregate,2023-04-01,208.05461340155253,244.3304187906882,221.04768739298186
9,12,ObservedBrandAggregate,2023-05-01,330.4708430787147,317.80257961330653,298.10566740743604
9,12,ObservedBrandAggregate,2023-06-01,244.5395081861965,249.60232251531804,282.60278823781533
9,12,ObservedBrandAggregate,2023-07-01,198.33326923851564,187.3758312891524,179.69874863690742
9,12,ObservedBrandAggregate,2023-08-01,176.22389599363171,154.23622976961408,167.22380920030778
9,12,ObservedBrandAggregate,2023-09-01,277.8914221166966,299.76612376493273,272.23157683012784
9,12,ObservedBrandAggregate,2023-10-01,155.6262529550432,160.14467658395495,148.37422338474062
9,12,ObservedBrandAggregate,2023-11-01,144.43348659975015,154.65603207456243,180.71186868908705
9,12,ObservedBrandAggregate,2023-12-01,330.6957301984534,265.642364397107,255.11934604898912
9,12,ObservedBrandAggregate,2024-01-01,275.52493227609193,282.9829020362724,268.43743857074315
9,12,ObservedBrandAggregate,2024-02-01,163.60219199887274,161.09173022937293,120.3572310385664
9,12,ObservedBrandAggregate,2024-03-01,110.21271099246904,116.14005298445784,131.83807747772588
9,12,ObservedBrandAggregate,2024-04-01,279.654037152162,289.3325666781043,286.7693075429349
9,12,ObservedBrandAggregate,2024-05-01,227.5366308963155,245.33582594252252,251.9594164038452
9,12,ObservedBrandAggregate,2024-06-01,456.5357682720706,461.10064777938766,449.805044880927
9,12,ObservedBrandAggregate,2024-07-01,186.1545995922761,167.02146020100335,195.46357411253118
9,12,ObservedBrandAggregate,2024-08-01,269.43670798506065,279.8597166274615,276.2441689868711
9,12,ObservedBrandAggregate,2024-09-01,263.01805003190657,273.4015436855411,273.8841132909772
9,12,ObservedBrandAggregate,2024-10-01,182.18282357632143,181.95314912511995,198.6325800513571
9,12,ObservedBrandAggregate,2024-11-01,139.98364522273056,171.22312815096802,187.91314406209747
9,12,ObservedBrandAggregate,2024-12-01,219.38280517282894,218.5688691204368,232.59198555911192
9,12,ObservedBrandAggregate,2025-01-01,312.1736908718079,299.7866263715252,313.1130346660581
9,12,ObservedBrandAggregate,2025-02-01,176.4211616634593,150.32993868376806,171.4623532220705
