replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
0,5,SyntheticResidual,2023-01-01,1007.1659554327944,1031.6839028213474,729.3784026300074
0,5,SyntheticResidual,2023-02-01,553.5567842413604,422.1194488039602,473.36389584221797
0,5,SyntheticResidual,2023-03-01,1732.8999606143902,1398.3447028302392,1599.0565601987075
0,5,SyntheticResidual,2023-04-01,200.72805673076948,202.04341265438882,240.8562570074526
0,5,SyntheticResidual,2023-05-01,388.60806316828314,225.74371739615208,435.14869294393475
0,5,SyntheticResidual,2023-06-01,647.2492386627431,656.2072168962426,642.9147078609726
0,5,SyntheticResidual,2023-07-01,306.700896957432,268.03740807324937,219.07211388522455
0,5,SyntheticResidual,2023-08-01,167.30257053285501,205.2942806459072,165.9126216098877
0,5,SyntheticResidual,2023-09-01,548.8180591376009,564.433632648438,496.47413948496467
0,5,SyntheticResidual,2023-10-01,232.88518002696492,254.92547625965645,289.70680270685773
0,5,SyntheticResidual,2023-11-01,332.6539397537667,415.3057931160274,445.3486641477715
0,5,SyntheticResidual,2023-12-01,570.4545535591055,411.6240456836178,428.16242857877785
0,5,SyntheticResidual,2024-01-01,414.941115153445,352.8036150275963,420.36984188387197
0,5,SyntheticResidual,2024-02-01,201.69989612450206,204.37911724722807,174.6344998063825
0,5,SyntheticResidual,2024-03-01,147.3976968576378,201.7604245955279,250.2184247950541
0,5,SyntheticResidual,2024-04-01,454.5646558584099,460.55787072891906,469.79545987182183
0,5,SyntheticResidual,2024-05-01,350.3359423361323,394.9563931288305,418.4290507480101
0,5,SyntheticResidual,2024-06-01,1003.3566982237928,1011.0264435560354,897.6661282609286
0,5,SyntheticResidual,2024-07-01,256.9790809796071,286.3831071948872,261.1976724807667
0,5,SyntheticResidual,2024-08-01,478.2728808085949,528.8865075172469,498.0299977936679
0,5,SyntheticResidual,2024-09-01,626.5272573262279,571.4359680643973,577.34927885049
0,5,SyntheticResidual,2024-10-01,254.03864756120046,267.44999707192267,271.61587930023853
0,5,SyntheticResidual,2024-11-01,343.5484544105832,327.5162366125595,354.30140675365016
0,5,SyntheticResidual,2024-12-01,324.0257986838676,223.40536654751912,364.3291159639958
0,5,SyntheticResidual,2025-01-01,537.8743915675283,506.34540545006075,577.521592430057
0,5,SyntheticResidual,2025-02-01,302.0248806714093,286.53807666385285,371.6457028318754
0,5,SyntheticResidual,2025-03-01,214.33374645891936,243.64939606959302,199.08783185146564
0,5,SyntheticResidual,2025-04-01,323.3214842208772,283.89848859402747,306.7234932374254
0,5,SyntheticResidual,2025-05-01,577.3159543552814,569.9398254523854,537.4124703276877
0,5,SyntheticResidual,2025-06-01,849.5255288865952,833.7810451344918,851.0027753357197
0,5,SyntheticResidual,2025-07-01,310.7916889144135,266.8144442848591,246.90645478093657
0,5,SyntheticResidual,2025-08-01,451.4758700696613,433.47694942128726,442.8218789267047
0,5,SyntheticResidual,2025-09-01,523.6890525248439,405.17504749154733,696.6188176521524
0,5,SyntheticResidual,2025-10-01,453.99139264544874,467.23748854426157,461.15490711366
0,5,SyntheticResidual,2025-11-01,1213.1595770328981,1061.7665667669894,1177.5910194946441
0,5,SyntheticResidual,2025-12-01,1527.6116394211062,1314.6654953646114,1761.0522438886856
0,5,SyntheticResidual,2026-01-01,866.7547070218319,1100.1379823399725,841.3716087709241
0,5,SyntheticResidual,2026-02-01,494.0541713530539,816.246571182446,546.0568498711824
0,5,SyntheticResidual,2026-03-01,911.8197315609347,788.8386733737539,853.1838574920799
0,8,ShuffledResidual,2022-01-01,394.04025774832036,407.01138913161816,426.78840220278636
0,8,ShuffledResidual,2022-02-01,319.81710476293483,348.75117447811334,294.03242144519254
0,8,ShuffledResidual,2022-03-01,550.4341992686751,610.0339696088785,710.6322136153665
0,8,ShuffledResidual,2022-04-01,209.36263101500276,176.88244800183375,214.47323098139293
0,8,ShuffledResidual,2022-05-01,259.56708866615844,241.8089759820502,272.6729977376987
